action,info,state,reward,done
[-0.15 -0.4  -0.4  -0.4  -0.15 -0.15],3,"[-0.54059536  0.53257865  0.64241244 -0.10687796 -0.52360221  0.37002149
  0.65497875 -0.39990955  0.68916931 -0.40728572 -0.50011809  0.330221
 -0.02463785 -0.09295195 -0.13273001  0.23169024  0.00631129 -0.05431707
 -0.023955   -0.09651895 -0.09232991 -0.07224982 -0.17186403 -0.15493744
 -0.0219508  -0.15341664 -0.13806829  0.0707869   0.32578427 -0.43874165
  0.4099501   0.27737017  0.28459203  0.35405729  0.44033359  0.34157585
  1.23553463  1.23285683  1.24672762]",-0.0098672198757669,False
[-0.4  -0.4  -0.4  -0.4  -0.15 -0.4 ],3,"[-0.12094282  0.73971056  0.49104812 -0.4439289   0.03846233  0.67991335
  0.48237019 -0.55096051 -0.1445616   0.62383682  0.45323832 -0.62008434
  0.04966024  0.06914973  0.03302437 -0.08196986 -0.03154968  0.75341411
  0.03285211  0.04307378 -0.02891668 -0.03538179  0.02755389  1.14392421
  0.06006569  0.09265048 -0.02082443  0.24331078  0.25278668  0.89483601
  0.19407993  0.13582147  0.24065506  0.2460058   0.11264276  0.17517156
  1.28911253  1.30871262  1.29746505]",0.1031421840250776,False
[-0.15 -0.4  -0.15 -0.15 -0.15 -0.4 ],3,"[ 0.71054204 -0.27118111  0.6430269  -0.09004013  0.61829829 -0.38662193
  0.68425561  0.00499751  0.60069658 -0.27216234  0.75070869  0.03908619
  0.06494659  0.1381007  -0.02190989  0.24803195  0.01606264 -0.77538943
  0.0362832   0.06841547 -0.04264669  0.01475584 -0.08079933 -0.78142132
  0.05362909  0.11230204  0.02089511 -0.12125286  0.01493222 -0.83559389
  0.19172209  0.1229347   0.12884062  0.21304567  0.27011971  0.13758125
  1.29587542  1.30174594  1.30427692]",-0.0156469219853111,False
[-0.15 -0.4  -0.4  -0.4  -0.15 -0.4 ],3,"[-3.37947531e-01  6.21167826e-01  6.70820353e-01  2.23477185e-01
 -4.50549826e-01  5.02406314e-01  7.19065101e-01  1.65946165e-01
 -3.48050417e-01  6.53167317e-01  6.71664954e-01  3.31595085e-02
 -1.04222977e-03 -2.32975976e-04 -3.26784418e-03 -4.67519055e-03
  6.91689208e-04 -6.97999597e-02  3.49440655e-03  3.63004229e-03
 -3.05223711e-03  9.21231571e-03 -1.95042824e-02  3.45782346e-01
 -1.26272489e-03 -2.61048294e-03 -7.97306692e-03  5.54165968e-02
 -9.54622240e-03 -1.50920665e-01  1.52093478e-01  1.69507419e-01
  5.02559840e-02  1.55629758e-01  1.93685903e-01  1.33379114e-01
  1.30554633e+00  1.30381082e+00  1.31718619e+00]",0.1091119704175601,False
[-0.15 -0.4  -0.4  -0.4  -0.15 -0.15],3,"[-3.26750648e-01  6.23042081e-01  6.66828530e-01  2.45748430e-01
 -4.51106994e-01  4.96204202e-01  7.16822700e-01  1.90916438e-01
 -3.65133265e-01  6.47776782e-01  6.65036810e-01  6.92024607e-02
  1.76374279e-02  6.32861372e-03 -4.34033089e-03 -9.58399787e-02
  6.12429114e-02 -2.93396288e-01  2.46174758e-02  1.29505884e-02
 -5.70989167e-03 -1.51393252e-02  1.04600072e-03  2.61777455e-01
  1.77426666e-02  9.67264197e-03  8.38313654e-03 -2.18368414e-04
 -1.87376945e-02  2.13245905e-01  1.61713173e-01  1.81925052e-01
  6.43276392e-02  1.68726754e-01  2.03103563e-01  1.37024612e-01
  1.30280304e+00  1.30139824e+00  1.31277185e+00]",0.1143674399835373,False
[-0.4  -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 5.53231312e-01  5.00778814e-01  1.77434172e-01  6.41617339e-01
  4.93621760e-01  4.09711986e-01  3.12443634e-01  7.00608751e-01
  4.98883194e-01  5.88373032e-01  2.91059748e-01  5.65877158e-01
 -5.83722215e-02 -1.13294817e-01  7.41260022e-02 -3.69468539e-02
 -1.46506774e-01  9.80569957e-01 -7.95154379e-02 -1.45166055e-01
  3.56350352e-02 -2.32735325e-04  2.03651943e-01  6.00787991e-01
 -8.64085297e-02 -1.64539725e-01  7.60981367e-02  1.14890635e-01
  1.01900993e-01  6.72434549e-01  1.54001065e-01  2.16036894e-01
  2.44458714e-01  2.14334118e-01  1.12769285e-01  2.27275944e-01
  1.29380256e+00  1.30642201e+00  1.28502492e+00]",0.2670913445674065,False
[-0.4  -0.4  -0.4  -0.4  -0.15 -0.15],3,"[ 0.68058812 -0.27330409  0.64216685 -0.2229942   0.59321252 -0.45280188
  0.64053598 -0.18106083  0.57284581 -0.34123912  0.73386479 -0.12979219
 -0.01904144 -0.07188626 -0.03047128 -0.12596908 -0.26039022  1.08484933
  0.01142662 -0.00496539  0.03829137  0.07860517 -0.01746661  0.86320039
 -0.00591902 -0.02673616 -0.05020255  0.04895327  0.05966263  0.56100196
  0.17595984  0.11313426  0.12199978  0.21516083  0.24577261  0.14175152
  1.29859999  1.30616653  1.30350758]",0.1292821959884612,True
[-0.4  -0.4  -0.4  -0.4  -0.15 -0.4 ],3,"[ 0.2026314   0.72763504  0.65255575 -0.06048768  0.24885521  0.60786696
  0.74952764 -0.08232357  0.0277325   0.7427579   0.66473095 -0.07532845
  0.20571765 -0.02861142  0.04381005 -0.11843317 -0.12777638  1.91246271
  0.18610478 -0.02990455 -0.10227352 -0.05936867  0.20142317  1.67884155
  0.29416688 -0.05278606 -0.05511885  0.44461735 -0.02259626  1.59023026
  0.07093248  0.20356934  0.22141473  0.20982027  0.11179886  0.25886376
  1.30722288  1.30271266  1.29147268]",0.3043022767234519,False
[-0.4  -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 0.55012817  0.50884429  0.18671723  0.63527409  0.4886704   0.39801273
  0.29969065  0.71622107  0.46889442  0.62879604  0.23197827  0.57527354
 -0.04147076 -0.07819856  0.04384532 -0.0221214  -0.09472664  0.73347242
 -0.05905011 -0.1026298   0.03379762  0.0056175   0.15311504  0.34985532
 -0.05947714 -0.10153683  0.04370204  0.01200875  0.06561669  0.10884992
  0.11778086  0.26743802  0.29262609  0.20410598  0.09436377  0.26750918
  1.29482516  1.30419057  1.2768966 ]",0.2137046467374297,False
[-0.4  -0.15 -0.15 -0.4  -0.15 -0.15],3,"[ 0.77540363 -0.12511209  0.61800389 -0.03416684  0.7002956  -0.23559096
  0.67331959  0.02690178  0.6037084  -0.22378789  0.76483689 -0.02190155
 -0.03016328 -0.11183894  0.00937697 -0.12848064 -0.08106048  0.88393491
 -0.01457244 -0.04839674  0.00890756 -0.03560748  0.02448652  0.44614707
 -0.02823076 -0.08733747 -0.01457062  0.12873248 -0.03059113  0.01121631
  0.21838107  0.09524629  0.18417901  0.2882147   0.23991515  0.0911269
  1.28604777  1.3012503   1.30148184]",0.1932359659462282,False
