action,info,state,reward,done
[-0.44760063 -0.28124592 -0.17461628 -0.1574547  -0.44888797 -0.24272475],0,"[-2.35055578e-01  7.43947558e-01  6.09151999e-01  1.42213739e-01
 -2.59445021e-01  5.46585888e-01  7.91618237e-01 -8.52802123e-02
 -4.76145942e-01  6.71453638e-01  5.44165921e-01 -1.62229790e-01
  1.44829066e-02 -4.32045474e-03 -3.50707328e-02  1.82753272e-01
 -1.88104618e-01 -1.04391770e-01  7.05280768e-03  1.17001280e-03
 -7.42875084e-02 -9.35852432e-02 -3.61846609e-02 -4.29305950e-02
  4.42449943e-02  8.60332397e-03 -7.02883668e-02  1.07927479e-01
  1.77035448e-02  3.30912577e-01  4.71960104e-01  3.55019948e-01
  4.59171440e-01  4.65974981e-01  4.34187701e-01  4.21409244e-01
  1.19150502e+00  1.20353737e+00  1.19905504e+00]",0.119960094413792,False
[-0.4367944  -0.24054603 -0.17157057 -0.15334132 -0.44617763 -0.17150277],0,"[-2.36499819e-01  7.42998069e-01  6.10259892e-01  1.40016318e-01
 -2.59885164e-01  5.47219964e-01  7.91049942e-01 -8.51469445e-02
 -4.74270704e-01  6.71980811e-01  5.44600689e-01 -1.64070650e-01
 -1.42901264e-04 -2.03565557e-04 -6.93246441e-02  2.48964510e-01
 -2.53078501e-01  3.96192490e-01 -1.91655529e-02  4.63643788e-03
 -5.42208916e-02 -6.94354825e-02 -5.15079248e-02  9.05166769e-02
  5.26778482e-02  1.38897566e-02 -7.16933245e-02  1.27710479e-01
 -4.78548151e-03  9.59193033e-02  4.68108218e-01  3.51504173e-01
  4.56976309e-01  4.64053767e-01  4.29911834e-01  4.18497973e-01
  1.19312211e+00  1.20526327e+00  1.20049780e+00]",0.1164549134558272,False
[-0.44931066 -0.2055075  -0.15492675 -0.16525179 -0.4454777  -0.15322056],0,"[-0.23816564  0.74171239  0.61181857  0.13717832 -0.25962444  0.54798716
  0.79044337 -0.08662858 -0.47513692  0.67052525  0.54566881 -0.16397057
 -0.00501106 -0.01008637 -0.08963079  0.31468234 -0.29640367  0.13803718
 -0.03764983 -0.00937157 -0.03879146 -0.03125905 -0.08236296  0.22897053
  0.06500098  0.01806189 -0.0780109   0.14442226 -0.02786032 -0.20437933
  0.46327888  0.34831223  0.45474455  0.46221618  0.42470636  0.41575435
  1.19491124  1.20718262  1.20186329]",0.1109894059417761,False
[-0.4421241  -0.36411276 -0.27352965 -0.16153872 -0.43932512 -0.16690305],0,"[-0.23986737  0.74023806  0.61374416  0.13352667 -0.25884683  0.5488775
  0.78977317 -0.08938766 -0.47633037  0.66881908  0.54675947 -0.16384294
 -0.0176775  -0.00900518 -0.10283902  0.36109595 -0.35289072  0.43117022
 -0.05351572 -0.01533146 -0.04502103 -0.02985215 -0.11050149  0.29683509
  0.0757527   0.02072198 -0.08123458  0.1266472  -0.04403639 -0.29975683
  0.45748985  0.34517723  0.4522327   0.46040456  0.41875038  0.41313654
  1.19691516  1.20934406  1.20317307]",0.1041810155232571,False
[-0.41212696 -0.19237608 -0.15769452 -0.16023856 -0.44882187 -0.163986  ],0,"[-0.24349265  0.73813325  0.61542167  0.1308694  -0.2586116   0.5495546
  0.78913118 -0.09155199 -0.47757487  0.66710467  0.54775564 -0.16388215
 -0.01679505 -0.01636818 -0.08867552  0.36272279 -0.37421519  0.43194955
 -0.06223443 -0.02315922 -0.03644971 -0.02235803 -0.09695143 -0.00882555
  0.08219298  0.02156293 -0.07293708  0.1267799  -0.05444676 -0.18446087
  0.45112242  0.34195306  0.44941485  0.4585976   0.41215258  0.41063714
  1.19905273  1.21168846  1.20449556]",0.0985354048651813,False
[-0.43219772 -0.18990755 -0.16563788 -0.20756017 -0.44417715 -0.15983242],0,"[-0.24469003  0.7369344   0.61744918  0.12574175 -0.25942084  0.5496285
  0.7887571  -0.09204121 -0.47889728  0.66541021  0.54863871 -0.16395795
  0.0162097  -0.01823158 -0.05761847  0.37993846 -0.34859981 -1.39055914
 -0.05572848 -0.0190245  -0.03367121 -0.01553541 -0.106821    0.17948924
  0.09688595  0.02883211 -0.07066552  0.12355311 -0.05687371  0.10506562
  0.44419832  0.33921464  0.44672393  0.45658376  0.40515759  0.40833468
  1.201205    1.21405746  1.20582561]",0.1014837561208709,False
[-0.4274643  -0.16156575 -0.16041487 -0.15376854 -0.44503564 -0.16107059],0,"[-0.24737158  0.73524088  0.61922875  0.12158908 -0.25901792  0.55004985
  0.78834104 -0.09419808 -0.47857947  0.6649321   0.54907793 -0.1653494
  0.01916914 -0.00124353 -0.08462842  0.37272589 -0.43523713  0.70550186
 -0.05023785 -0.02478424 -0.01133525  0.0135378  -0.08896441  0.18730971
  0.12517801  0.02033911 -0.06115639  0.13314406 -0.07422978 -0.02476259
  0.43694982  0.33680663  0.44411412  0.45442507  0.39786248  0.40623118
  1.20342934  1.2163275   1.20718356]",0.1186822059867434,False
[-0.44540387 -0.16690612 -0.15463215 -0.16219568 -0.44255838 -0.15131792],0,"[-2.51132173e-01  7.33265946e-01  6.20774731e-01  1.17866099e-01
 -2.57786146e-01  5.50730741e-01  7.87859552e-01 -9.75667996e-02
 -4.78994440e-01  6.63922689e-01  5.49612479e-01 -1.66424493e-01
  3.53262508e-02 -1.54755696e-02 -7.11656507e-02  3.70499006e-01
 -4.70475265e-01  2.53201171e-01 -4.32118719e-02 -2.44677907e-02
 -8.61753791e-04  2.71100549e-02 -8.29808160e-02  3.38584188e-01
  1.64124506e-01  1.97099695e-02 -7.28653576e-02  1.04975135e-01
 -1.01664736e-01 -8.70206398e-02  4.29354744e-01  3.34839453e-01
  4.41730770e-01  4.52245698e-01  3.90210114e-01  4.04390328e-01
  1.20551922e+00  1.21855416e+00  1.20862133e+00]",0.1341068044733513,False
[-0.4447847  -0.40288466 -0.15619159 -0.15414754 -0.4439778  -0.18818685],0,"[-0.25100998  0.73265632  0.62290604  0.11043899 -0.25679922  0.55128166
  0.78743917 -0.10041038 -0.48011713  0.66241083  0.55020005 -0.16727027
  0.03827634 -0.01843557 -0.05564494  0.38312197 -0.50595517 -0.36025543
 -0.02578147 -0.00841061 -0.01385701  0.00679484 -0.08460022  0.54536504
  0.17200492  0.03685052 -0.06632915  0.14606555 -0.12644958  0.03662172
  0.42134301  0.332692    0.43958466  0.45006106  0.38230939  0.40275926
  1.20761303  1.22068003  1.21022805]",0.1474041611960199,False
[-0.4172342  -0.25949755 -0.15268067 -0.15422782 -0.4492452  -0.15446267],0,"[-0.25546441  0.73056794  0.62423504  0.10648493 -0.25464517  0.55252165
  0.78671516 -0.10466572 -0.48017813  0.66164151  0.5504668  -0.16925064
  0.05429735  0.00256138 -0.06485142  0.37145912 -0.51967409  1.24108011
 -0.023102   -0.0045028  -0.02198086 -0.0165753  -0.05209742  0.26507341
  0.18484793  0.03348246 -0.06128515  0.15013884 -0.15284506 -0.05998708
  0.41314778  0.32994891  0.4376296   0.44795759  0.3742228   0.4012511
  1.20980375  1.2227677   1.21189005]",0.1609843780115455,False
[-0.39097708 -0.18729597 -0.15465507 -0.30132583 -0.4481922  -0.15309593],0,"[-0.25818726  0.72913306  0.62568987  0.10107677 -0.25291796  0.55357542
  0.78608555 -0.10796424 -0.48008074  0.66105416  0.550602   -0.17136895
  0.10177712 -0.00338889 -0.01806889  0.36247594 -0.46304737 -1.39648427
 -0.00924957  0.00452849 -0.02079513 -0.01614877 -0.05232129  0.54832965
  0.1945593   0.04169868 -0.06804984  0.13250865 -0.11693258  0.41626302
  0.40516299  0.32730842  0.43586887  0.44558736  0.36588016  0.39996191
  1.21187895  1.22483402  1.21360599]",0.1765311707093401,False
[-0.20501839 -0.20352946 -0.16308579 -0.16215917 -0.44917226 -0.2422963 ],0,"[-0.25870097  0.72850782  0.62729962  0.09404975 -0.25106334  0.55460326
  0.78551104 -0.11115227 -0.47939514  0.66086894  0.55065574 -0.17381255
  0.0938453   0.02455702 -0.06465764  0.32667782 -0.49731943  0.7086819
 -0.00599791  0.00588853 -0.02198327 -0.02270856 -0.03586761  0.3413002
  0.18669215  0.04518468 -0.05971891  0.18197892 -0.13048517 -0.03237278
  0.39765637  0.32498613  0.43425228  0.44283196  0.35749653  0.39866986
  1.21396019  1.22666709  1.21538845]",0.1905411432975788,False
[-0.44723427 -0.20189102 -0.15909103 -0.15336671 -0.44800606 -0.16300139],0,"[-0.26351056  0.72624675  0.62834366  0.09117069 -0.24865664  0.55591466
  0.78479985 -0.11496939 -0.47923384  0.66020264  0.55099727 -0.17569695
  0.12505136  0.01659213 -0.0430001   0.357859   -0.40064877 -0.5720249
  0.00814305  0.01193675 -0.01507835 -0.02053391 -0.01049301  0.39184457
  0.21392711  0.04891408 -0.07721511  0.10512686 -0.09221895  0.07884218
  0.3907391   0.32279894  0.43269449  0.44028258  0.34903344  0.39726396
  1.21591175  1.22845926  1.21708138]",0.201126682337095,False
