action,info,state,reward,done
[-0.4  -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 5.65307353e-01  4.67338966e-01 -6.03753933e-02  6.77035227e-01
  3.64636878e-01  4.94800427e-01  1.52222048e-01  7.73977347e-01
  5.31278668e-01  6.28095947e-01  1.76694765e-01  5.40386359e-01
 -4.33139057e-02 -4.31550173e-02  9.57678231e-04  3.98334427e-01
 -1.95551437e-01  2.45403407e-01 -1.57134185e-02 -2.32056693e-02
  2.38220678e-02 -6.81233684e-03  6.11813393e-02 -1.34435471e-01
 -7.62645338e-02 -3.00820420e-02 -5.27875562e-02  9.67457153e-02
 -5.38418298e-02 -4.81797824e-01  3.51311802e-01  3.63412742e-01
  2.76318514e-01  4.23315082e-01  3.28008903e-01  4.09096021e-01
  1.23040961e+00  1.23648274e+00  1.23985744e+00]",0.1571462306249711,False
[-0.4  -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 0.56317701  0.46864945 -0.05665524  0.67822528  0.36532098  0.49393705
  0.15324406  0.77400454  0.52839349  0.62997273  0.17573292  0.54134334
 -0.05082591 -0.06006347  0.00232973  0.39227467 -0.27129927 -0.1535228
 -0.00148091 -0.01394736  0.03600826  0.04080744  0.01381134  0.57259655
 -0.08320258 -0.04044636 -0.05411816  0.10712478 -0.03640137 -0.13777126
  0.34705984  0.35954893  0.2779299   0.42041354  0.3211165   0.40688306
  1.23186622  1.23837947  1.24056865]",0.1528447804452138,False
[-0.15 -0.15 -0.15 -0.15 -0.4  -0.15],3,"[ 0.55900097  0.47283212 -0.05590801  0.67883871  0.36716908  0.49206213
  0.15670423  0.77363138  0.52578557  0.63159624  0.1752263   0.54215447
 -0.03166935 -0.02432052  0.00253257  0.34660335 -0.26986322 -0.40715866
 -0.00849316 -0.0049145   0.02965357  0.02282804  0.05208811 -0.07307495
 -0.08779184 -0.0456841  -0.04732293  0.1133982  -0.08905862 -0.62579844
  0.34273634  0.35640428  0.27960517  0.41719719  0.31423595  0.40484742
  1.23323542  1.2401988   1.24127386]",0.1530148216714886,False
[-0.4  -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 0.55710533  0.47486059 -0.05253671  0.6792503   0.36598761  0.4925228
  0.1547267   0.77429581  0.52117968  0.63497442  0.17309263  0.54333983
 -0.03566264 -0.03801515  0.00285711  0.30962188 -0.32481459  0.2754699
 -0.00810717 -0.01264013  0.0316802   0.02009475  0.04061304  0.02412219
 -0.07937845 -0.02971718 -0.0414217   0.08726872 -0.07043244 -0.31703818
  0.33840729  0.35373414  0.28136302  0.41399183  0.30768975  0.40287984
  1.23451588  1.24193849  1.24189413]",0.1403595293151419,False
[-0.15 -0.15 -0.15 -0.15 -0.4  -0.15],3,"[ 0.55432107  0.47812395 -0.05048279  0.67939468  0.36845019  0.49018675
  0.1590786   0.77372825  0.52079135  0.63486366  0.17424365  0.54347369
 -0.05149881 -0.07276821 -0.00575453  0.30371635 -0.29645579 -0.14824172
 -0.00168795 -0.02660428  0.04348009  0.04056571  0.03092191  0.67392617
 -0.06697965 -0.05615549 -0.03461278  0.11834923 -0.05226782  0.10238464
  0.33411417  0.35157708  0.28298625  0.41046127  0.30129985  0.40124677
  1.235849    1.24344793  1.24254771]",0.1576103895072031,False
[-0.15 -0.15 -0.15 -0.15 -0.4  -0.15],3,"[ 0.55289387  0.47982546 -0.04713076  0.67959885  0.36889453  0.48939195
  0.15954506  0.77392358  0.51843714  0.63641617  0.17397058  0.54399598
 -0.04317752 -0.04548955 -0.00583021  0.24179553 -0.28346747  0.12518028
 -0.01091297 -0.01876717  0.01757552 -0.01352166  0.05851647 -0.28817309
 -0.06798816 -0.05395987 -0.02719496  0.10710815 -0.08978183 -0.43033761
  0.33056919  0.34972942  0.28479767  0.40756548  0.29494973  0.39961348
  1.23691478  1.24493858  1.24307083]",0.1591856690840807,False
[-0.4  -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 0.55114566  0.48226976 -0.0446281   0.67945763  0.36945141  0.48860276
  0.16005623  0.77405103  0.51633454  0.6377956   0.17387559  0.54441042
 -0.03857676 -0.05982448 -0.00875952  0.23850495 -0.32835492 -0.43981353
 -0.00675554 -0.03889587  0.0332285   0.01100615  0.06343563  0.51051572
 -0.07803276 -0.0623602  -0.04178279  0.10096327 -0.06180486  0.21238999
  0.32710511  0.34813491  0.28643136  0.40455473  0.28895762  0.39814291
  1.23808029  1.24624923  1.24354391]",0.1614303573702888,False
[-0.15 -0.15 -0.15 -0.15 -0.4  -0.15],3,"[ 0.54982313  0.48442848 -0.04154437  0.67918896  0.37183994  0.48630956
  0.16367072  0.77359548  0.51593322  0.63773757  0.17527142  0.54441128
 -0.03598445 -0.05615984 -0.01550905  0.21223771 -0.31913736 -0.32798458
 -0.01598965 -0.04010823  0.02299083 -0.01484974  0.07150996  0.10730016
 -0.07602049 -0.06940773 -0.03358994  0.10825379 -0.0934422  -0.10676713
  0.32348635  0.3468212   0.28819597  0.40132076  0.28308461  0.39672236
  1.23914547  1.24751922  1.24407077]",0.1715021153494506,False
[-0.4  -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 0.54928467  0.48605275 -0.03773597  0.67868628  0.37244947  0.48554583
  0.16396807  0.77371901  0.51355917  0.63934858  0.17514487  0.54480698
 -0.04331175 -0.05940642 -0.00591531  0.18979946 -0.37153132  0.15584699
 -0.01757675 -0.04262531  0.02286326 -0.00846891  0.0527183   0.28348682
 -0.07690066 -0.07126626 -0.02644281  0.11153504 -0.09484701 -0.15643756
  0.31998702  0.34567975  0.2898813   0.39809244  0.27738769  0.39532149
  1.24020293  1.24877363  1.24452802]",0.1699307097483582,False
[-0.15 -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 0.54727309  0.48979621 -0.03607115  0.6777099   0.37471415  0.48345423
  0.16696944  0.7732933   0.51233214  0.63997447  0.176004    0.5449505
 -0.05315474 -0.07462824 -0.00867247  0.16185573 -0.39700983  0.61287288
 -0.01831731 -0.04692562  0.01620141 -0.02143217  0.05416883  0.36226382
 -0.07398492 -0.06607284 -0.0278183   0.12910873 -0.09085479 -0.22125802
  0.31632158  0.34470828  0.29163734  0.39416609  0.2719353   0.39403347
  1.24127643  1.24996856  1.24505259]",0.1750392606409334,True
[-0.15 -0.15 -0.15 -0.4  -0.15 -0.15],3,"[ 0.54833664  0.49953644  0.0243768   0.67022089  0.42601537  0.44337015
  0.22044423  0.75719096  0.50912804  0.6365295   0.21565237  0.53769219
 -0.05905414 -0.13243549 -0.02432593  0.11855615 -0.4728167   0.58775854
 -0.08072456 -0.20847817 -0.07216462 -0.20228875  0.14234484  1.32502977
 -0.16151161 -0.28042811 -0.08839138  0.31115836 -0.32321126  0.40343117
  0.26721922  0.29880947  0.30822044  0.3768926   0.20970697  0.37846316
  1.25229321  1.26709003  1.25086615]",0.3235626751282732,False
[-0.15 -0.15 -0.15 -0.4  -0.15 -0.15],3,"[ 0.55190962  0.49828215  0.03284393  0.66785623  0.43373704  0.43714637
  0.22871503  0.75396596  0.50899252  0.63564372  0.22128768  0.53657753
 -0.05609929 -0.14222519 -0.03469964 -0.01100859 -0.50550288  1.0113393
 -0.08346609 -0.22513342 -0.0932803  -0.23674039  0.15196379  1.31729623
 -0.14077626 -0.27920121 -0.08999007  0.32870036 -0.30359685  0.40090171
  0.26380656  0.29526244  0.30981194  0.37513586  0.20573875  0.37713433
  1.25295232  1.26817051  1.25139174]",0.3259028381942732,False
[-0.15 -0.15 -0.15 -0.4  -0.15 -0.15],3,"[ 0.55733778  0.4959732   0.0422831   0.6645279   0.4421251   0.43034134
  0.23751325  0.75027941  0.51032146  0.63353875  0.22789033  0.53503893
 -0.06688716 -0.16709167 -0.04459454 -0.13122007 -0.5232025   1.05460327
 -0.09510973 -0.25569151 -0.11017158 -0.26923977  0.17464528  1.52511335
 -0.1284083  -0.27810033 -0.09309042  0.30498901 -0.27464937  0.80984173
  0.26120714  0.29271055  0.31120433  0.37254761  0.20296432  0.3758264
  1.25363458  1.26892299  1.25185754]",0.3358432589820077,False
